Longitude,Latitude
-124.5676,55.91686
-122.9131,55.08194
-122.6122,54.52972
-121.2116,55.71844
-121.2035,55.55247
-121.6276,55.54217
-121.5968,55.53778
-121.0138,55.06136
-120.5644,55.95736
-129.1353,55.216
-127.7162,55.43385
-126.6976,55.42654
-127.4517,53.93033
-127.4266,54.11683
-126.9,54.61861
-127.1233,54.64861
-127.2042,54.80994
-126.6502,54.39608
-127.4969,54.60694
-128.4306,54.63194
-128.3247,54.49363
-129.3128,54.36219
-127.1792,51.67917
-126.5211,52.42456
-125.7712,52.88947
-127.9524,53.56355
-128.6905,54.04872
-128.6026,54.06405
-128.69,54.13639
-124.9186,50.98636
-125.5944,51.14478
-123.7046,48.87836
-123.6708,48.72783
-123.7255,48.78922
-124.2853,49.31611
-124.9694,48.8925
-124.9978,48.91556
-125.2418,49.89458
-126.8434,50.01249
-126.5785,50.44036
-127.5377,53.65208
-125.0089,54.0078
-124.6009,54.08507
-124.2706,54.41686
-124.2478,54.61081
-121.8504,54.07867
-120.2201,53.44406
-122.6247,54.00367
-121.6687,54.23117
-122.1029,54.01694
-121.7675,52.9149
-122.8918,53.30642
-121.5723,52.61583
-122.2253,52.84306
-121.0669,52.29139
-121.4081,52.31556
-120.0666,51.64947
-120.1265,51.18802
-119.9144,51.60186
-120.2405,51.04093
-119.9377,51.24533
-119.8816,51.35438
-118.8017,50.93634
-118.9464,51.26222
-119.7431,50.76311
-121.3936,50.35463
-120.1349,49.96492
-120.9085,49.85422
-123.5395,52.06975
-124.1453,51.67386
-123.1159,51.52369
-123.4533,50.85622
-122.8002,50.33602
-121.8296,49.30042
-121.9675,49.09738
-122.5802,49.24265
-121.4584,49.08365
-121.6998,49.07172
-122.5366,49.20709
-121.663,49.10172
-116.9129,51.24356
-116.9721,51.30118
-117.1804,51.4833
-117.7185,51.67799
-116.8989,51.5265
-118.5962,51.66878
-118.0851,51.01263
-117.7345,50.28291
-117.9453,49.01465
-117.2943,49.04714
-118.1255,49.90518
-118.042,49.44847
-117.2392,49.23454
-116.0461,50.88703
-115.6353,49.61203
-115.8967,49.71366
-116.435,49.73727
-116.9535,49.90762
-116.5339,49.20263
-116.4525,49.15912
-116.4368,49.10427
-117.048,50.6375
-115.9413,49.42215
-116.7849,50.082
-117.122,49.87255
-117.5648,49.46008
-117.2613,49.50195
-117.446,49.69712
-115.0701,49.50347
-114.8687,49.86562
-114.8667,49.89396
-114.8334,49.89149
-119.9935,49.20763
-120.5035,49.4597
-120.5186,49.45771
-120.1523,49.37697
-120.0687,49.36419
-120.5794,49.09893
-120.6725,49.0941
-120.9789,49.46568
-120.0112,49.71234
-119.3214,49.24928
-119.852,49.79458
-118.4404,49.04327
-119.0925,49.70292
-119.052,49.56537
-118.3118,49.58914
-114.5539,49.0944
-132.2097,53.61389
-113.9477,49.4864
-114.4106,49.59732
-114.1444,49.48866
-114.3399,49.39745
-113.686,49.97735
-113.7953,49.63938
-113.6635,49.95413
-113.8394,49.11366
-112.9543,49.56628
-113.1426,49.12501
-110.5071,49.88778
-110.9437,49.5805
-115.5718,51.17223
-114.8384,51.28281
-114.571,50.94893
-114.3268,50.88547
-114.2787,50.77113
-114.2449,50.68855
-114.5007,50.40506
-114.5887,50.28526
-114.2073,50.47409
-113.2363,50.76404
-114.6855,51.92679
-115.0192,51.64625
-114.1403,52.02824
-114.671,51.51147
-114.4775,52.08928
-113.7947,52.35402
-114.3442,52.31956
-114.1468,52.74038
-114.5777,52.57374
-113.363,52.33191
-113.7278,51.41583
-113.5997,52.00117
-113.3611,51.71784
-113.5686,51.99747
-111.06,50.9583
-110.508,50.89896
-116.6892,51.88427
-116.4709,52.00119
-116.5839,51.79992
-114.9292,52.27386
-115.2879,52.25457
-114.8558,52.2521
-115.4222,52.36859
-115.5203,52.81997
-115.011,52.92991
-113.5909,53.41263
-113.6906,53.22203
-113.7625,53.65535
-112.7828,54.12306
-112.996,53.8966
-110.9211,53.8888
-110.3257,53.44246
-112.0499,53.29409
-113.5814,52.66325
-111.3104,52.708
-112.356,52.51738
-110.8673,53.00723
-110.4736,51.56666
-111.3674,54.43605
-112.0144,54.47454
-111.1876,54.46749
-111.0023,54.7128
-110.2173,54.35516
-118.1072,52.86412
-118.0587,52.91019
-117.5694,53.42429
-116.0632,54.20753
-116.6315,53.47018
-116.7033,53.56652
-115.8397,54.01245
-114.9048,54.36493
-115.3325,54.22767
-115.4889,53.1383
-115.0047,53.60419
-115.0236,53.94799
-113.9933,54.45029
-113.8489,54.3082
-113.288,54.72203
-116.3402,55.4177
-116.4926,55.44821
-115.4172,55.31554
-115.47,54.80263
-114.2308,55.25547
-114.7752,55.27079
-118.7002,55.64435
-119.1611,53.94651
-119.4372,55.18927
-118.8029,55.07125
-118.9163,55.3745
-118.1823,55.1403
-117.2057,54.75201
-117.1796,54.73986
-117.1522,54.74518
-117.6231,55.7146
-110.2237,49.10772
